[a11y] Scanning 8 page(s)
  [homepage] violations=0 critical=0 serious=0
  [testingblogarticletemplate] violations=0 critical=0 serious=0
  [pouches-zonnic-mint-24-nicotine-pouches] violations=0 critical=0 serious=0
  [why-zonnic] violations=2 critical=0 serious=4
  [what-is-zonnic] violations=0 critical=0 serious=0
  [store-locator] violations=0 critical=0 serious=0
  [sign-up] violations=2 critical=1 serious=1
  [contact-us-testimonials] violations=1 critical=1 serious=0
[a11y] Done. 5 total violations (2 critical, 5 serious)
