content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Locations/Shanghai-Zhangjiang.jpg/jcr:content/renditions/cq5dam.web.320.Shanghai-Zhangjiang.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Country-Sites/Egypt/partnership/AZ-Egypt-Partnerships-05.jpg|
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Robotics-used-for-the-analysis.jpg/jcr:content/renditions/cq5dam.web.320.Robotics-used-for-the-analysis.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Oncology_antibody.jpg/jcr:content/renditions/cq5dam.web.320.Oncology_antibody.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Laboratory-testing.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/20150129.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Locations/MedImmune-Gaithersburg.jpg/jcr:content/renditions/cq5dam.web.320.MedImmune-Gaithersburg.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/our-company/our-company-052017/investor-relations/mp3/AZ-ESMO-280914-transcript_AZ-ESMO-280914-transcript_generic.mp3|
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/AstraZenica-in-Cambridge/v2/Cambridge_R&D_Centre_auditorium_new.jpg/jcr:content/renditions/cq5dam.web.320.Cambridge_R&D_Centre_auditorium_new.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/our-therapy-areas/Oncology/haematology/Z4-29411-CLL-Biomarker-Testing-GIF.gif|
content|https://www.astrazeneca.com/content/dam/az/media-centre-docs/lib/AD1-7234-AstraZeneca-logo-The-Discovery-Centrer-DISC-Getty-Images-for-AstraZeneca.jpg/jcr:content/renditions/cq5dam.web.320.AD1-7234-AstraZeneca-logo-The-Discovery-Centrer-DISC-Getty-Images-for-AstraZeneca.jpg|
content|https://www.astrazeneca.com/content/dam/az/Country-Sites/Egypt/partnership/AZ-Egypt-Partnerships-07.jpg|
content|https://www.astrazeneca.com/content/dam/az/Country-Sites/Egypt/partnership/AZ-Egypt-Partnerships-06.jpg|
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/AstraZenica-in-Cambridge/v2/Cambridge_R&D_Centre_auditorium_new.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Investigation-of-protein-expression.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Messenger_RNA.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/media-centre-docs/lib/AZ355-R-D-Boston-USA.jpg/jcr:content/renditions/original|
content|https://www.astrazeneca.com/content/dam/az/our-therapy-areas/Oncology/ovarian/Ovarian-cancer_3.jpg|
content|https://www.astrazeneca.com/content/dam/az/wscd/clinical-innovation/Tendrilplot_image_v3.1.png|
content|https://www.astrazeneca.com/content/dam/az/our-company/our-locations/cambridge/RDC/building/H&dM_AstraZeneca_%C2%A9Hufton+Crow_0107.jpg/jcr:content/renditions/cq5dam.web.320.H&dM_AstraZeneca_%C2%A9Hufton+Crow_0107.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Cardiac_regenerating_muscle_cells.jpg/jcr:content/renditions/cq5dam.web.320.Cardiac_regenerating_muscle_cells.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/our-therapy-areas/cvrm/renal/five-stages-of-ckd-full.jpg|
content|https://www.astrazeneca.com/content/dam/az/media-centre-docs/lib/AD1-6920-AstraZeneca-logo-The-Discovery-Centrer-DISC-Getty-Images-for-AstraZeneca.jpg/jcr:content/renditions/original|
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Laboratory-testing.jpg/jcr:content/renditions/cq5dam.web.320.Laboratory-testing.jpg|NOT_IN_MIRROR
content|https://www.astrazeneca.com/content/dam/az/media-centre-docs/lib/AD1-8454-Manufacturing-at-AstraZeneca-Getty-Images-for-AstraZeneca.jpg/jcr:content/renditions/cq5dam.web.320.AD1-8454-Manufacturing-at-AstraZeneca-Getty-Images-for-AstraZeneca.jpg|
content|https://www.astrazeneca.com/content/dam/az/Image%20Bank/Research-and-Development/Robotics-used-for-the-analysis.jpg/jcr:content/renditions/original|NOT_IN_MIRROR
